,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
6427,2018,Bagan perahu,620000,3,2018-02-17T00:00:00.000,2018-02-19T00:00:00.000,Kembung Perempuan [RAB],31
6441,2018,Bagan perahu,1060000,3,2018-02-17T00:00:00.000,2018-02-19T00:00:00.000,Kembung Perempuan [RAB],53
6612,2018,Jaring insang berlapis,868000,2,2018-02-19T00:00:00.000,2018-02-20T00:00:00.000,Kembung Perempuan [RAB],31
6820,2018,Jaring insang berlapis,784000,2,2018-02-20T00:00:00.000,2018-02-21T00:00:00.000,Kembung Perempuan [RAB],28
7009,2018,Bagan perahu,360000,3,2018-02-20T00:00:00.000,2018-02-22T00:00:00.000,Kembung Perempuan [RAB],18
7019,2018,Jaring insang berlapis,840000,2,2018-02-21T00:00:00.000,2018-02-22T00:00:00.000,Kembung Perempuan [RAB],30
7441,2018,Bagan perahu,220000,3,2018-02-23T00:00:00.000,2018-02-25T00:00:00.000,Kembung Perempuan [RAB],11
7459,2018,Jaring insang berlapis,700000,2,2018-02-24T00:00:00.000,2018-02-25T00:00:00.000,Kembung Perempuan [RAB],25
7655,2018,Bagan perahu,660000,3,2018-02-24T00:00:00.000,2018-02-26T00:00:00.000,Kembung Perempuan [RAB],33
7674,2018,Jaring insang berlapis,1372000,2,2018-02-25T00:00:00.000,2018-02-26T00:00:00.000,Kembung Perempuan [RAB],49
7706,2018,Bagan perahu,1740000,2,2018-02-25T00:00:00.000,2018-02-26T00:00:00.000,Kembung Perempuan [RAB],87
7840,2018,Bagan perahu,20000,3,2018-02-25T00:00:00.000,2018-02-27T00:00:00.000,Kembung Perempuan [RAB],1
7892,2018,Bagan perahu,200000,3,2018-02-25T00:00:00.000,2018-02-27T00:00:00.000,Kembung Perempuan [RAB],10
7910,2018,Bagan perahu,460000,3,2018-02-25T00:00:00.000,2018-02-27T00:00:00.000,Kembung Perempuan [RAB],23
7917,2018,Bagan perahu,660000,2,2018-02-26T00:00:00.000,2018-02-27T00:00:00.000,Kembung Perempuan [RAB],33
7930,2018,Jaring insang berlapis,1232000,2,2018-02-26T00:00:00.000,2018-02-27T00:00:00.000,Kembung Perempuan [RAB],44
8070,2018,Bagan perahu,180000,3,2018-02-26T00:00:00.000,2018-02-28T00:00:00.000,Kembung Perempuan [RAB],9
8096,2018,Jaring insang berlapis,952000,2,2018-02-27T00:00:00.000,2018-02-28T00:00:00.000,Kembung Perempuan [RAB],34
8300,2018,Bagan perahu,280000,2,2018-02-28T00:00:00.000,2018-03-01T00:00:00.000,Kembung Perempuan [RAB],14
